Timestamp,Temperature (C),Humidity (%)
20250208165410,22.00,48.80
20250208165440,22.00,48.50
20250208165510,22.00,46.80
20250208165540,21.90,46.40
20250208165610,21.80,46.30
20250208165640,21.70,46.50
20250208165710,21.70,46.70
20250208165740,21.60,46.70
20250208165810,21.60,46.70
20250208165840,21.50,46.80
20250208165910,21.50,46.90
20250208165940,21.50,47.00
20250208170010,21.50,47.10
20250208170040,21.40,47.20
20250208170110,21.30,49.30
20250208170140,21.30,58.70
20250208170210,21.20,52.60
20250208170240,21.10,50.30
20250208170310,21.00,50.10
20250208170340,21.00,49.60
20250208170410,21.00,49.30
20250208170440,21.00,49.20
20250208170510,21.00,49.20
20250208170540,21.10,49.30
20250208170610,21.00,49.30
20250208170640,21.10,49.30
20250208170710,21.10,49.20
20250208170740,21.10,49.30
20250208170810,21.10,49.10
20250208170840,21.20,49.20
20250208170910,21.10,49.20
20250208170940,21.10,49.20
20250208171010,21.20,49.30
20250208171040,21.10,49.30
20250208171110,21.10,49.40
20250208171140,21.10,49.50
20250208171210,21.10,49.50
20250208171240,21.10,49.50
20250208171310,21.10,49.50
20250208171340,21.10,49.60
20250208171410,21.10,49.50
20250208171440,21.20,49.50
20250208171510,21.20,49.60
20250208171540,21.20,49.50
20250208171610,21.20,49.50
20250208171640,21.10,49.80
20250208171710,21.00,49.80
20250208171740,21.00,49.90
20250208171810,21.00,49.80
20250208171840,20.90,50.00
20250208171910,20.90,50.10
20250208171940,20.90,50.30
20250208172010,20.90,50.30
20250208172040,20.90,50.30
20250208172110,20.90,50.40
20250208172140,20.90,50.40
20250208172210,20.90,50.40
20250208172240,20.90,50.40
20250208172310,20.90,50.50
20250208172340,20.90,50.40
20250208172410,20.90,50.50
20250208172440,20.90,50.50
Timestamp,Temperature (C),Humidity (%)
20250208174841,21.60,51.40
20250208174911,21.50,51.00
Timestamp,Temperature (C),Humidity (%)
Timestamp,Temperature (C),Humidity (%)
20250208180243,21.70,51.60
20250208180243,21.70,51.60
20250208180244,21.70,51.60
20250208180245,21.70,51.60
20250208180246,21.70,51.60
20250208180247,21.70,51.60
20250208180248,21.70,51.60
20250208180249,21.70,51.60
20250208180250,21.70,51.60
20250208180251,21.70,51.60
20250208180252,21.70,51.60
20250208180253,21.70,51.60
20250208180254,21.70,51.60
20250208180255,21.70,51.60
20250208180256,21.70,51.60
