,index,Timestamp,X,Y,Z
0,1,2025-04-25 10:46:02,0.0,0.0,0.0
1,2,2025-04-25 10:46:02,0.92822265625,-0.7158966064453125,0.605926513671875
2,3,2025-04-25 10:46:03,0.5946502685546875,-0.776153564453125,0.7232513427734375
3,4,2025-04-25 10:46:04,-1.7592926025390625,0.0713653564453125,0.5216064453125
4,5,2025-04-25 10:46:05,-1.8622894287109375,-0.2660369873046875,0.2682342529296875
5,6,2025-04-25 10:46:06,-0.3716583251953125,-0.691802978515625,-0.5076751708984375
6,7,2025-04-25 10:46:07,1.2252960205078125,-0.959075927734375,-0.545806884765625
7,8,2025-04-25 10:46:08,2.9534454345703125,-0.3296356201171875,0.1856536865234375
8,9,2025-04-25 10:46:09,-4.144134521484375,-0.2123260498046875,-1.510894775390625
9,10,2025-04-25 10:46:10,0.736358642578125,1.613037109375,0.9402313232421875
10,11,2025-04-25 10:46:11,-0.733917236328125,1.703399658203125,0.7115478515625
11,12,2025-04-25 10:46:12,-1.3784027099609375,3.31463623046875,-0.024322509765625
12,13,2025-04-25 10:46:13,-4.54351806640625,0.6194915771484375,0.6625823974609375
13,14,2025-04-25 10:46:14,3.9612274169921875,1.6518402099609375,0.806793212890625
14,15,2025-04-25 10:46:15,-0.8672637939453125,-0.1714935302734375,-1.1180267333984375
15,16,2025-04-25 10:46:16,3.3289031982421875,1.1665496826171875,1.1414642333984375
16,17,2025-04-25 10:46:17,6.72613525390625,1.142181396484375,0.45697021484375
17,18,2025-04-25 10:46:18,1.2547454833984375,5.733673095703125,-1.49102783203125
18,19,2025-04-25 10:46:20,-1.781005859375,1.3855743408203125,-0.09075927734375
19,20,2025-04-25 10:46:21,-0.7451934814453125,1.3563385009765625,-0.2125244140625
